formField,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
cashAndDeposits,2.4.4.18.1.0.1,2.4.4.18.1.0.1,2.4.4.18.1.0.1,cash deposits,cash deposits,pg2.1,pg2.1,31 Assets - cash and deposits,31 Assets - cash and deposits,31 Assets - cash and deposits,31 Assets - cash and deposits,31 Assets - cash and deposits,31 Assets - cash and deposits,31 Assets - cash and deposits,31 Assets - cash and deposits,31 Assets - cash and deposits
otherCurrentAssets,2.4.4.18.1.0.2,2.4.4.18.1.0.2,2.4.4.18.1.0.2,other assets,other assets,pg2.2,pg2.2,32 Assets - other,32 Assets - other,32 Assets - other,32 Assets - other,32 Assets - other,32 Assets - other,32 Assets - other,32 Assets - other,32 Assets - other
totalCurrentAssets,2.4.4.18.1.0.3,2.4.4.18.1.0.3,2.4.4.18.1.0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
vehicleAssets,2.4.4.18.1.1,2.4.4.18.1.1,2.4.4.18.1.1,vehicles,vehicles,pg2.3,pg2.3,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles,33 Fixed assets - Vehicles
plantAssets,2.4.4.18.1.2,2.4.4.18.1.2,2.4.4.18.1.2,plant/machinery,plant/machinery,pg2.4,pg2.4,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery,34 Fixed assets - Plant and machinery
furnitureAssets,2.4.4.18.1.3,2.4.4.18.1.3,2.4.4.18.1.3,furniture,furniture,pg2.5,pg2.5,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings,35 Fixed assets - Furniture and fittings
landAndBuildings,2.4.4.18.1.4,2.4.4.18.1.4,2.4.4.18.1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
land,0,0,0,land,land,pg2.6,pg2.6,36 Fixed assets - land,36 Fixed assets - land,36 Fixed assets - land,36 Fixed assets - land,36 Fixed assets - land,36 Fixed assets - land,36 Fixed assets - land,36 Fixed assets - land,36 Fixed assets - land
buildings,0,0,0,buildings,buildings,pg2.7,pg2.7,37 Fixed assets - buildings,37 Fixed assets - buildings,37 Fixed assets - buildings,37 Fixed assets - buildings,37 Fixed assets - buildings,37 Fixed assets - buildings,37 Fixed assets - buildings,37 Fixed assets - buildings,37 Fixed assets - buildings
otherFixedAssets,2.4.4.18.1.5,2.4.4.18.1.5,2.4.4.18.1.5,other fixed assets,other fixed assets,pg2.8,pg2.8,38 Fixed assets - other,38 Fixed assets - other,38 Fixed assets - other,38 Fixed assets - other,38 Fixed assets - other,38 Fixed assets - other,38 Fixed assets - other,38 Fixed assets - other,38 Fixed assets - other
totalFixedAssets,2.4.4.18.1.6,2.4.4.18.1.6,2.4.4.18.1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
intangibles,2.4.4.18.1.7,2.4.4.18.1.7,2.4.4.18.1.7,intangibles,intangibles,pg2.9,pg2.9,39 Assets - Intangibles,39 Assets - Intangibles,39 Assets - Intangibles,39 Assets - Intangibles,39 Assets - Intangibles,39 Assets - Intangibles,39 Assets - Intangibles,39 Assets - Intangibles,39 Assets - Intangibles
preferenceShares,2.4.4.18.1.8,2.4.4.18.1.8,2.4.4.18.1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
sharesAndDebentures,2.4.4.18.1.9,2.4.4.18.1.9,2.4.4.18.1.9,shares,shares,pg2.10,pg2.10,40 Assets - shares/interest,40 Assets - shares/interest,40 Assets - shares/interest,40 Assets - shares/interest,40 Assets - shares/interest,40 Assets - shares/interest,40 Assets - shares/interest,40 Assets - shares/interest,40 Assets - shares/interest
termDeposits,2.4.4.18.1.10,2.4.4.18.1.10,2.4.4.18.1.10,term deposits,term deposits,pg2.11,pg2.11,41 Assets - term deposits,41 Assets - term deposits,41 Assets - term deposits,41 Assets - term deposits,41 Assets - term deposits,41 Assets - term deposits,41 Assets - term deposits,41 Assets - term deposits,41 Assets - term deposits
otherNonCurrentAssets,0,0,0,other n/c assets,other n/c assets,pg2.12,pg2.12,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other
otherAssets,2.4.4.18.1.11,2.4.4.18.1.11,2.4.4.18.1.11,other n/c assets,other n/c assets,pg2.12,pg2.12,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other,42 Assets - other
totalAssets,2.4.4.18.1.12,2.4.4.18.1.12,2.4.4.18.1.12,Total Assets,Total Assets,pg2.13,pg2.13,43 Total assets,43 Total assets,43 Total assets,43 Total assets,43 Total assets,43 Total assets,43 Total assets,43 Total assets,43 Total assets
provisions,0,0,0,provisions,provisions,pg2.14,pg2.14,44 Liabilities - provisions,44 Liabilities - provisions,44 Liabilities - provisions,44 Liabilities - provisions,44 Liabilities - provisions,44 Liabilities - provisions,44 Liabilities - provisions,44 Liabilities - provisions,44 Liabilities - provisions
accountsPayable,2.4.4.18.1.13,2.4.4.18.1.13,2.4.4.18.1.13,accounts payable,accounts payable,pg2.15,pg2.15,45 Liabilities - creditors,45 Liabilities - creditors,45 Liabilities - creditors,45 Liabilities - creditors,45 Liabilities - creditors,45 Liabilities - creditors,45 Liabilities - creditors,45 Liabilities - creditors,45 Liabilities - creditors
currentLoans,0,0,0,loans,loans,pg2.16,pg2.16,46 Liabilities - loans,46 Liabilities - loans,46 Liabilities - loans,46 Liabilities - loans,46 Liabilities - loans,46 Liabilities - loans,46 Liabilities - loans,46 Liabilities - loans,46 Liabilities - loans
bankAccountLiabilities,2.4.4.18.1.14,2.4.4.18.1.14,2.4.4.18.1.14,0,0,0,0,0,0,0,0,0,0,0,0,0
otherCurrentLiabilities,2.4.4.18.1.15,2.4.4.18.1.15,2.4.4.18.1.15,other liabilities,other liabilities,pg2.17,pg2.17,47 Liabilities - other,47 Liabilities - other,47 Liabilities - other,47 Liabilities - other,47 Liabilities - other,47 Liabilities - other,47 Liabilities - other,47 Liabilities - other,47 Liabilities - other
totalCurrentLiabilities,2.4.4.18.1.16,2.4.4.18.1.16,2.4.4.18.1.16,Total Current Liabilities,Total Current Liabilities,pg2.18,pg2.18,48 Total current liabilities,48 Total current liabilities,48 Total current liabilities,48 Total current liabilities,48 Total current liabilities,48 Total current liabilities,48 Total current liabilities,48 Total current liabilities,48 Total current liabilities
nonCurrentLiabilities,0,0,0,n/c  liabilities,n/c  liabilities,pg2.19,pg2.19,49 Non-current liabilities,49 Non-current liabilities,49 Non-current liabilities,49 Non-current liabilities,49 Non-current liabilities,49 Non-current liabilities,49 Non-current liabilities,49 Non-current liabilities,49 Non-current liabilities
termLiabilities,2.4.4.18.1.17,2.4.4.18.1.17,2.4.4.18.1.17,0,0,0,0,0,0,0,0,0,0,0,0,0
totalLiabilities,2.4.4.18.1.18,2.4.4.18.1.18,2.4.4.18.1.18,Total Liabilities,Total Liabilities,pg2.20,pg2.20,50 Total liabilities,50 Total liabilities,50 Total liabilities,50 Total liabilities,50 Total liabilities,50 Total liabilities,50 Total liabilities,50 Total liabilities,50 Total liabilities
ownersEquity,0,0,0,Owner's Equity,Owner's Equity,pg2.21,pg2.21,51 Owners' equity,51 Owners' equity,51 Owners' equity,51 Owners' equity,51 Owners' equity,51 Owners' equity,51 Owners' equity,51 Owners' equity,51 Owners' equity
taxDepreciation,0,0,0,depriciation,depriciation,pg2.22,pg2.22,52 Tax depreciation,52 Tax depreciation,52 Tax depreciation,52 Tax depreciation,52 Tax depreciation,52 Tax depreciation,52 Tax depreciation,52 Tax depreciation,52 Tax depreciation
untaxedRealisedGains,0,0,0,untaxed gains,untaxed gains,pg2.23,pg2.23,53 Untaxed gains/receipts,53 Untaxed gains/receipts,53 Untaxed gains/receipts,53 Untaxed gains/receipts,53 Untaxed gains/receipts,53 Untaxed gains/receipts,53 Untaxed gains/receipts,53 Untaxed gains/receipts,53 Untaxed gains/receipts
additionsToFixedAssets,0,0,0,fixed assets additions,fixed assets additions,pg2.24,pg2.24,54 Add,54 Add,54 Add,54 Add,54 Add,54 Add,54 Add,54 Add,54 Add
disposalsOfFixedAssets,0,0,0,fixed asset disposal,fixed asset disposal,pg2.25,pg2.25,55 Disp,55 Disp,55 Disp,55 Disp,55 Disp,55 Disp,55 Disp,55 Disp,55 Disp
drawings,2.4.4.18.1.19,2.4.4.18.1.19,2.4.4.18.1.19,drawings,drawings,pg2.27,pg2.27,57 Drawings,57 Drawings,57 Drawings,57 Drawings,57 Drawings,57 Drawings,57 Drawings,57 Drawings,57 Drawings
currentAccountClosingBalance,2.4.4.18.1.20,2.4.4.18.1.20,2.4.4.18.1.20,Current Account,Current Account,pg2.28.0,pg2.28.0,58 Current balances,58 Current balances,58 Current balances,58 Current balances,58 Current balances,58 Current balances,58 Current balances,58 Current balances,58 Current balances
totalShareholderFunds,2.4.4.18.1.21,2.4.4.18.1.21,2.4.4.18.1.21,Owner's Equity,Owner's Equity,pg2.21,pg2.21,pg2.21,pg2.21,pg2.21,pg2.21,pg2.21,pg2.21,pg2.21,pg2.21,pg2.21
deductibleLossOnDisposal,2.4.4.18.1.22,2.4.4.18.1.22,2.4.4.18.1.22,Tax deductible loss,Tax deductible loss,pg2.28.1,pg2.28.1,59 Tax-deductible loss,59 Tax-deductible loss,59 Tax-deductible loss,59 Tax-deductible loss,59 Tax-deductible loss,59 Tax-deductible loss,59 Tax-deductible loss,59 Tax-deductible loss,59 Tax-deductible loss
capitalGainOnDisposal,2.4.4.18.1.23,2.4.4.18.1.23,2.4.4.18.1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
dividendsPaid,2.4.4.18.1.24,2.4.4.18.1.24,2.4.4.18.1.24,dividends paid,dividends paid,dividends paid,pg2.26,56 Dividends paid,56 Dividends paid,56 Dividends paid,56 Dividends paid,56 Dividends paid,56 Dividends paid,56 Dividends paid,56 Dividends paid,56 Dividends paid
gstExclusiveRadio,58 yes/no,58 yes/no,58 yes/no,0,0,0,0,0,0,0,0,0,0,0,0,0
twelveMonthsRadio,59 yes/no,59 yes/no,59 yes/no,0,0,0,0,0,0,0,0,0,0,0,0,0
currentAccountMinusSign,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus,59 minus
