formField,2010,2011,2012,2013,2014,2015,2016,2017,2018
termLiabilities,2.4.4.18.1.17,2.4.4.18.1.17,2.4.4.18.1.17,0,0,0,0,0,0
totalLiabilities,2.4.4.18.1.18,2.4.4.18.1.18,2.4.4.18.1.18,Total Liabilities,Total Liabilities,pg2.20,pg2.20,pg2.20,pg2.20
ownersEquity,0,0,0,Owner's Equity,Owner's Equity,pg2.21,pg2.21,pg2.21,pg2.21
taxDepreciation,0,0,0,depriciation,depriciation,pg2.22,pg2.22,pg2.22,pg2.22
untaxedRealisedGains,0,0,0,untaxed gains,untaxed gains,pg2.23,pg2.23,pg2.23,pg2.23
additionsToFixedAssets,0,0,0,fixed assets additions,fixed assets additions,pg2.24,pg2.24,pg2.24,pg2.24
disposalsOfFixedAssets,0,0,0,fixed asset disposal,fixed asset disposal,pg2.25,pg2.25,pg2.25,pg2.25
drawings,2.4.4.18.1.19,2.4.4.18.1.19,2.4.4.18.1.19,drawings,drawings,pg2.27,pg2.27,pg2.27,pg2.27
currentAccountClosingBalance,2.4.4.18.1.20,2.4.4.18.1.20,2.4.4.18.1.20,Current Account,Current Account,pg2.28.0,pg2.28.0,pg2.28.0,pg2.28.0
totalShareholderFunds,2.4.4.18.1.21,2.4.4.18.1.21,2.4.4.18.1.21,Owner's Equity,Owner's Equity,pg2.21,pg2.21,pg2.21,pg2.21
deductibleLossOnDisposal,2.4.4.18.1.22,2.4.4.18.1.22,2.4.4.18.1.22,Tax deductible loss,Tax deductible loss,pg2.28.1,pg2.28.1,pg2.28.1,pg2.28.1
capitalGainOnDisposal,2.4.4.18.1.23,2.4.4.18.1.23,2.4.4.18.1.23,0,0,0,0,0,0
dividendsPaid,2.4.4.18.1.24,2.4.4.18.1.24,2.4.4.18.1.24,dividends paid,dividends paid,dividends paid,pg2.26,pg2.26,pg2.26
gstExclusiveRadio,58 yes/no,58 yes/no,58 yes/no,0,0,0,0,0,0
twelveMonthsRadio,59 yes/no,59 yes/no,59 yes/no,0,0,0,0,0,0
